entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Pictures,Description,Parenthetical,Audio Files,Video File,Response Menu Sequence,Guid,ja,EventGuid,canvasRect
Ganymede_Ionia_Wenger_Sanatorium_West_W2_START,2,0,9,9,START,,,False,Block,Normal,,,None();,[],,,[],,,33aad5de-919d-4872-80db-e4b9d7d0b42f,,{{omit}},704.5233;50.79927
Ganymede_Ionia_Wenger_Sanatorium_West_W2_1,2,1,9,9,,,[NC]Hey.,False,Block,Normal,,,,[],,,[],,,e5d295e2-86f5-49ff-b11b-845c8e6cc6a5,,{{omit}},707.0734;151.7189
Ganymede_Ionia_Wenger_Sanatorium_West_W2_2,2,2,9,9,,,,False,Block,Normal,,,"Destination(Waypoint, -90)->Message(turn);\nDelay(1)@Message(turn)->Message(end);\nContinue()@Message(end);",[],,,[],,,5c61ad4f-5644-46cf-94c8-cc5ade7efd59,,{{omit}},708.4887;294.0534
Ganymede_Ionia_Wenger_Sanatorium_West_W2_3,2,3,9,9,,,It's been a while.,False,Block,Normal,,,,[],,,[],,,0fa3d0a8-2a41-4344-9acc-6139d66cb543,,{{omit}},705.4606;248.9938
Ganymede_Ionia_Wenger_Sanatorium_West_W2_4,2,4,9,9,,,,False,Block,Normal,,,PanelPos(3);\nContinue()@2;,[],,,[],,,11822784-f622-417e-9891-a1a11e021564,,{{omit}},703.283;96.27791
Ganymede_Ionia_Wenger_Sanatorium_West_W2_5,2,5,9,9,,,,False,Block,Normal,,,required Rotate(-90)@0.2;\nContinue()@0.5;,[],,,[],,,39c8db64-02e9-45b5-bace-efb681794cfb,,{{omit}},704.5784;200.543
Ganymede_Ionia_Wenger_Sanatorium_West_W2_6,2,6,9,9,,,[NSC]So...,False,Block,Normal,,,,[],,,[],,,f434ac7f-92f2-4317-8afe-8c60647a18fa,,{{omit}},705.6231;346.3159
Ganymede_Ionia_Wenger_Sanatorium_West_W2_7,2,7,9,9,,,[NS]You ready?,False,Block,Normal,,,,[],,,[],,,25d488b9-6377-4982-b608-d4a946dbdf39,,{{omit}},707.0233;438.9402
Player_Ionia_Wenger_Sanatorium_West_W2_10,2,10,7,9,,,Always.,False,Block,Normal,,,,[],,,[],,,1f484528-a13c-4c19-92e9-d129280c60c8,,{{omit}},527.009;512.116
Player_Ionia_Wenger_Sanatorium_West_W2_11,2,11,7,9,,,What?,False,Block,Normal,,,,[],,,[],,,db06abf3-ae06-4204-a433-1a6415e46c32,,{{omit}},707.009;511.9979
